Label,asds,Site,X(East),Y(North),Z,Valid,Manufact.,Type-generator,"Power, rated",Rotor diameter,Hub height,Row data/Description,Creator,Name,User label,Result,Efficiency,Regional / Correction Factor,Equivalent roughness,Free mean wind speed,HP-value,Calculated prod. without new WTGs,Actual wind corrected energy,Goodness Factor,A (Sum),k (Sum),A (0),k (0),f (0),A (1),k (1),f (1),A (2),k (2),f (2),A (3),k (3),f (3),A (4),k (4),f (4),A (5),k (5),f (5),A (6),k (6),f (6),A (7),k (7),f (7),A (8),k (8),f (8),A (9),k (9),f (9),A (10),k (10),f (10),A (11),k (11),f (11),Air density,Displacement height,Decrease due to obstacles,Increase due to hills,Sensitivity
1,New,A,"481,517","7,062,396",44,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F1,USER,Noise Mode = 0,F1,"12,600.16",91.0994,1,,7.81,97.5,0,0,,8.8,1.85,6.86,1.976,2.8,7.2,2.27,6.1,7.1,2.53,6,8.3,2.43,8.1,8.3,2.42,11.1,7.2,2.5,8.1,7.69,2.03,7.5,9.2,1.8,13.5,11.41,1.85,14.6,10.5,1.88,9.5,9.3,1.8,7.2,7.56,1.81,5.4,1.225,0,0,0,1.22
2,New,A,"481,159","7,062,726",42,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F2,USER,Noise Mode = 0,F2,"12,757.95",92.7376,1,,7.78,97.4,0,0,,8.76,1.851,6.8,1.96,2.7,7.2,2.26,6,7.09,2.53,6,8.2,2.42,8.2,8.3,2.42,11.2,7.2,2.499,8.1,7.6,2.03,7.5,9.1,1.81,13.4,11.4,1.85,14.7,10.4,1.88,9.6,9.3,1.79,7.3,7.51,1.82,5.4,1.225,0,0,0,1.23
3,New,A,"482,023","7,062,925",56.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F3,USER,Noise Mode = 0,F3,"12,452.91",88.7298,1,,7.91,97.9,0,0,,8.91,1.846,6.9,1.969,2.7,7.3,2.26,6,7.2,2.54,6,8.34,2.43,8.3,8.4,2.43,11.2,7.2,2.5,8,7.7,2.03,7.5,9.3,1.81,13.5,11.6,1.85,14.7,10.7,1.88,9.6,9.4,1.79,7.2,7.65,1.83,5.3,1.225,0,0,0,1.19
4,New,A,"481,656","7,062,954",47,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F4,USER,Noise Mode = 0,F4,"12,156.43",89.0042,1,,7.74,97.3,0,0,,8.72,1.848,6.8,1.954,2.8,7.2,2.28,6.1,7.02,2.53,6,8.07,2.43,8.1,8.2,2.42,11.1,7.1,2.5,8.1,7.61,2.018,7.6,9.2,1.807,13.6,11.3,1.85,14.6,10.37,1.88,9.5,9.3,1.79,7.2,7.6,1.81,5.4,1.225,0,0,0,1.24
5,New,A,"481,882","7,062,431",55.7,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F5,USER,Noise Mode = 0,F5,"12,578.79",88.2402,1,,8.01,98.2,0,0,,9.02,1.843,6.81,1.97,2.7,7.3,2.28,6,7.3,2.54,6,8.6,2.42,8.3,8.6,2.42,11.3,7.3,2.5,8,7.77,2.037,7.4,9.21,1.81,13.2,11.8,1.85,14.8,10.9,1.88,9.8,9.6,1.8,7.3,7.6,1.83,5.3,1.225,0,0,0,1.16
6,New,A,"481,822","7,062,019",51.3,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F6,USER,Noise Mode = 0,F6,"13,623.00",95.3792,1,,8.03,98.2,0,0,,9.04,1.841,6.9,2,2.8,7.2,2.274,5.9,7.1,2.53,5.9,8.7,2.419,8.1,8.6,2.43,11.4,7.4,2.49,8.2,7.9,2.02,7.5,9.2,1.8,13.1,11.9,1.85,14.5,10.85,1.88,9.8,9.6,1.8,7.4,7.78,1.829,5.4,1.225,0,0,0,1.15
7,New,A,"482,270","7,062,313",52.5,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F7,USER,Noise Mode = 0,F7,"13,169.26",92.1264,1,,8.03,98.2,0,0,,9.04,1.843,6.82,1.991,2.8,7.3,2.28,6,7.3,2.533,5.9,8.64,2.42,8.2,8.67,2.426,11.4,7.3,2.498,8,7.8,2.024,7.5,9.22,1.807,13.2,11.9,1.85,14.7,10.8,1.88,9.8,9.58,1.8,7.3,7.66,1.837,5.3,1.225,0,0,0,1.15
8,New,A,"482,544","7,063,102",61,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F8,USER,Noise Mode = 0,F8,"12,636.83",89.6723,1,,7.92,97.9,0,0,,8.92,1.855,6.9,1.99,2.8,7.3,2.273,6,7.24,2.54,5.9,8.3,2.42,8.2,8.5,2.42,11.2,7.3,2.491,8.1,7.8,2.015,7.6,9.3,1.81,13.3,11.5,1.85,14.5,10.7,1.88,9.6,9.4,1.79,7.3,7.79,1.83,5.4,1.225,0,0,0,1.19
9,New,A,"482,850","7,063,501",59.1,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F9,USER,Noise Mode = 0,F9,"12,512.40",90.2126,1,,7.82,97.5,0,0,,8.81,1.855,6.8,1.97,2.7,7.3,2.26,6,7.2,2.54,6,8.23,2.42,8.3,8.39,2.42,11.3,7.1,2.5,7.9,7.54,2.03,7.5,9.2,1.81,13.4,11.3,1.86,14.7,10.7,1.88,9.7,9.3,1.79,7.2,7.6,1.83,5.3,1.225,0,0,0,1.22
10,New,A,"483,136","7,062,632",59.8,Yes,Envision,"V126-3.45MW-3,450","3,450",126,80,F10,USER,Noise Mode = 0,F10,"13,383.76",93.7496,1,,8.01,98.2,0,0,,9.01,1.852,6.77,1.99,2.8,7.3,2.263,5.9,7.3,2.536,5.9,8.59,2.42,8.2,8.7,2.42,11.5,7.37,2.49,8.1,7.8,2.02,7.5,9.2,1.81,13.1,11.7,1.85,14.5,10.9,1.88,9.9,9.46,1.8,7.4,7.66,1.84,5.3,1.225,0,0,0,1.16
